Data;Moeda;Qtd;Tipo;Status
2021-06-09;SOL;207,075538;SAÍDA;Levantamento Externo
2021-06-10;LUNA;229,514;SAÍDA;Levantamento Externo
2021-06-11;ALGO;3446,24;SAÍDA;Levantamento Externo
2021-06-12;ADA;10002,35157;SAÍDA;Levantamento Externo
2021-06-13;SOL;100,0;SAÍDA;Levantamento Externo
2021-06-13;ALGO;1217,0;SAÍDA;Levantamento Externo
2021-06-13;ADA;10000,0;SAÍDA;Levantamento Externo
2021-06-14;SOL;93,422;SAÍDA;Levantamento Externo
2021-06-14;ADA;20000,0;SAÍDA;Levantamento Externo
2021-06-25;ADA;6844,6;SAÍDA;Levantamento Externo
2021-07-01;SOL;56,237;SAÍDA;Levantamento Externo
2021-07-02;ALGO;220,0;SAÍDA;Levantamento Externo
2021-07-02;SOL;49,015;SAÍDA;Levantamento Externo
2021-07-05;USDT;1200,0;SAÍDA;Levantamento Externo
2021-07-07;USDT;724,71;SAÍDA;Levantamento Externo
2021-07-07;XRP;1935,54;SAÍDA;Levantamento Externo
2021-07-07;VTHO;4806,53715309;ENTRADA;Entrada Direta/Rendimento
2021-07-07;XRP;47,65;SAÍDA;Levantamento Externo
2021-07-15;XRP;5000,0;SAÍDA;Levantamento Externo
2021-07-15;XLM;7010,0;SAÍDA;Levantamento Externo
2021-07-15;ETH;1,0083;SAÍDA;Levantamento Externo
2021-07-15;BTC;0,153;SAÍDA;Levantamento Externo
2021-07-16;CHZ;5850,08;SAÍDA;Levantamento Externo
2021-07-16;ENJ;1139,477;SAÍDA;Levantamento Externo
2021-07-16;ADA;2000,27;SAÍDA;Levantamento Externo
2021-07-16;ETH;0,30377;SAÍDA;Levantamento Externo
2021-07-30;USDC;5000,0;ENTRADA;Entrada Direta/Rendimento
2021-07-30;ETH;0,8;SAÍDA;Levantamento Externo
2021-07-30;XRP;4328,93;SAÍDA;Levantamento Externo
2021-08-04;USDC;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-08-04;ADA;7345,91;SAÍDA;Levantamento Externo
2021-08-04;USDC;5000,0;ENTRADA;Entrada Direta/Rendimento
2021-08-04;BTC;0,127404;SAÍDA;Levantamento Externo
2021-08-07;CHZ;5796,08;ENTRADA;Entrada Direta/Rendimento
2021-08-07;ENJ;1128,477;ENTRADA;Entrada Direta/Rendimento
2021-08-07;TFUEL;15,0;SAÍDA;Levantamento Externo
2021-08-07;THETA;10,0;ENTRADA;Entrada Direta/Rendimento
2021-08-07;THETA;990,8;ENTRADA;Entrada Direta/Rendimento
2021-08-07;SNX;104,13466;ENTRADA;Entrada Direta/Rendimento
2021-08-07;AAVE;10,39979686;ENTRADA;Entrada Direta/Rendimento
2021-08-07;BTC;0,39959237;SAÍDA;Levantamento Externo
2021-08-14;USDC;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-08-16;ADA;4588,41;SAÍDA;Levantamento Externo
2021-08-16;USDC;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-08-16;XRP;834,79;SAÍDA;Levantamento Externo
2021-08-17;USDT;1150,132328;SAÍDA;Levantamento Externo
2021-08-17;XRP;1000,0;SAÍDA;Levantamento Externo
2021-08-19;USDC;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-08-19;XRP;1800,0;SAÍDA;Levantamento Externo
2021-08-19;USDT;991,050885;SAÍDA;Levantamento Externo
2021-08-20;ADA;5493,28;SAÍDA;Levantamento Externo
2021-08-27;USDC;1881,5;SAÍDA;Levantamento Externo
2021-08-28;ADA;7482,5;ENTRADA;Entrada Direta/Rendimento
2021-08-28;USDC;20015,6116;SAÍDA;Levantamento Externo
2021-09-06;ADA;10010,0;ENTRADA;Entrada Direta/Rendimento
2021-09-06;USDC;20027,367938;SAÍDA;Levantamento Externo
2021-09-06;USDT;4237,3407;SAÍDA;Levantamento Externo
2021-09-09;ADA;4000,0;ENTRADA;Entrada Direta/Rendimento
2021-09-09;USDC;5080,0;SAÍDA;Levantamento Externo
2021-09-10;ADA;14888,0;ENTRADA;Entrada Direta/Rendimento
2021-09-10;EGLD;0,5;ENTRADA;Entrada Direta/Rendimento
2021-09-10;EGLD;36,43490175;ENTRADA;Entrada Direta/Rendimento
2021-09-12;USDT;4830,230375;SAÍDA;Levantamento Externo
2021-09-12;ADA;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-09-14;XRP;11110,748;SAÍDA;Levantamento Externo
2021-09-18;USDC;1250,0;ENTRADA;Entrada Direta/Rendimento
2021-09-18;USDC;1225,0;SAÍDA;Levantamento Externo
2021-10-02;ADA;15000,0;ENTRADA;Entrada Direta/Rendimento
2021-10-05;USDC;38762,979538;ENTRADA;Entrada Direta/Rendimento
2021-10-05;USDC;16925,0;SAÍDA;Levantamento Externo
2021-10-05;BTC;0,224;SAÍDA;Levantamento Externo
2021-10-06;USDT;9210,320614;SAÍDA;Levantamento Externo
2021-10-06;BTC;0,001;SAÍDA;Levantamento Externo
2021-10-06;BTC;0,145;SAÍDA;Levantamento Externo
2021-10-06;BTC;0,11410328;SAÍDA;Levantamento Externo
2021-10-10;ADA;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-10-11;LUNA;5,02;SAÍDA;Levantamento Externo
2021-10-11;LUNA;468,5;SAÍDA;Levantamento Externo
2021-10-13;STX;1097,222039;ENTRADA;Entrada Direta/Rendimento
2021-10-14;USDC;37,3;ENTRADA;Entrada Direta/Rendimento
2021-10-15;ADA;10000,0;ENTRADA;Entrada Direta/Rendimento
2021-10-15;LUNA;347,76814;SAÍDA;Levantamento Externo
2021-10-15;XRP;7000,5;SAÍDA;Levantamento Externo
2021-10-16;ADA;6712,0;ENTRADA;Entrada Direta/Rendimento
2021-10-16;SOL;92,01;SAÍDA;Levantamento Externo
